# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20110101,   35,   -3,   59
  260,20110102,   23,   -7,   53
  260,20110103,    7,  -36,   36
  260,20110104,    9,   -1,   24
  260,20110105,    3,  -15,   35
  260,20110106,   44,   33,   52
  260,20110107,   47,   -5,   92
  260,20110108,   88,   49,  120
  260,20110109,   38,   10,   67
  260,20110110,    9,  -25,   49
  260,20110111,   32,   -3,   62
  260,20110112,   57,   29,   85
  260,20110113,   95,   83,  106
  260,20110114,   99,   75,  116
  260,20110115,   89,   70,  100
  260,20110116,   97,   80,  125
  260,20110117,   81,   50,   96
  260,20110118,   44,   19,   61
  260,20110119,   36,   14,   66
  260,20110120,   20,  -28,   50
  260,20110121,    9,  -38,   37
  260,20110122,   45,   22,   61
  260,20110123,   51,   23,   66
  260,20110124,   55,   45,   68
  260,20110125,   47,    7,   69
  260,20110126,   13,   -4,   40
  260,20110127,   -1,  -31,   14
  260,20110128,  -24,  -49,   11
  260,20110129,  -30,  -56,    6
  260,20110130,  -14,  -53,   14
  260,20110131,  -13,  -29,   -1
  260,20110201,   -7,  -33,   24
  260,20110202,   35,   22,   45
  260,20110203,   56,   39,   80
  260,20110204,   91,   65,  104
  260,20110205,  108,  103,  116
  260,20110206,  100,   84,  113
  260,20110207,   84,   71,  104
  260,20110208,   43,  -28,   92
  260,20110209,   30,  -37,   94
  260,20110210,   75,   36,  104
  260,20110211,   78,   47,   95
  260,20110212,   55,   31,   85
  260,20110213,   62,   34,   81
  260,20110214,   63,   44,   82
  260,20110215,   59,   35,   79
  260,20110216,   63,   20,  104
  260,20110217,   38,    6,  101
  260,20110218,   10,    4,   15
  260,20110219,   21,    6,   50
  260,20110220,    3,  -24,   27
  260,20110221,  -19,  -46,   21
  260,20110222,  -20,  -64,   25
  260,20110223,    4,  -23,   37
  260,20110224,   42,    9,   68
  260,20110225,   68,   51,   81
  260,20110226,   73,   60,   95
  260,20110227,   43,   13,   62
  260,20110228,   24,   10,   34
  260,20110301,   25,   12,   41
  260,20110302,   19,  -14,   64
  260,20110303,    6,  -25,   60
  260,20110304,   -2,  -37,   47
  260,20110305,   26,   -7,   61
  260,20110306,   19,  -28,   67
  260,20110307,   20,  -29,   79
  260,20110308,   46,  -13,  110
  260,20110309,   67,   43,  101
  260,20110310,   77,   43,  103
  260,20110311,   67,   10,  106
