# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20100101,  -16,  -63,    7
  260,20100102,  -11,  -64,   12
  260,20100103,  -39,  -65,  -10
  260,20100104,  -29,  -54,   -6
  260,20100105,   -7,  -30,   19
  260,20100106,  -30,  -52,   -5
  260,20100107,  -49, -100,  -21
  260,20100108,  -50, -107,  -21
  260,20100109,  -22,  -49,   -5
  260,20100110,   -5,  -10,    2
  260,20100111,   -4,   -9,    0
  260,20100112,  -17,  -42,   -7
  260,20100113,  -30,  -50,  -12
  260,20100114,    6,  -30,   48
  260,20100115,   13,    1,   18
  260,20100116,   10,   -1,   19
  260,20100117,   39,    8,   67
  260,20100118,   40,    2,   53
  260,20100119,   40,   19,   58
  260,20100120,   27,   16,   55
  260,20100121,   27,   19,   38
  260,20100122,   22,    2,   49
  260,20100123,   13,   -5,   24
  260,20100124,   -2,   -7,    6
  260,20100125,  -32,  -75,   -6
  260,20100126,  -75, -101,  -37
  260,20100127,  -23, -111,   45
  260,20100128,   32,    9,   52
  260,20100129,   19,   -3,   46
  260,20100130,    0,  -16,   17
  260,20100131,   12,   -5,   37
  260,20100201,    1,  -41,   34
  260,20100202,   23,   -6,   52
  260,20100203,   22,  -11,   62
  260,20100204,   58,   17,   82
  260,20100205,   44,   25,   65
  260,20100206,   28,   11,   57
  260,20100207,   12,    2,   24
  260,20100208,  -32,  -45,    2
  260,20100209,  -33,  -50,  -15
  260,20100210,  -31,  -55,  -12
  260,20100211,  -25,  -53,   -8
  260,20100212,  -28,  -65,    9
  260,20100213,  -17,  -43,    0
  260,20100214,  -23,  -46,  -13
  260,20100215,  -36,  -53,  -10
  260,20100216,   -9,  -32,   17
  260,20100217,   -2,  -45,   26
  260,20100218,   32,   10,   57
  260,20100219,   33,   10,   53
  260,20100220,   14,  -32,   51
  260,20100221,    6,  -45,   42
  260,20100222,   40,   17,   83
  260,20100223,   21,    8,   44
  260,20100224,   63,   15,  102
  260,20100225,   82,   68,  110
  260,20100226,   73,   57,  103
  260,20100227,   68,   43,   91
  260,20100228,   64,   34,  109
  260,20100301,   42,   11,   70
  260,20100302,   29,  -18,   80
  260,20100303,   20,  -32,   71
  260,20100304,   15,  -13,   58
  260,20100305,   18,  -46,   60
  260,20100306,    8,  -25,   32
  260,20100307,  -10,  -50,   39
  260,20100308,    1,  -51,   52
  260,20100309,    5,  -38,   56
  260,20100310,    7,  -27,   48
  260,20100311,   26,  -12,   58
  260,20100312,   46,   31,   68
  260,20100313,   52,   28,   73
  260,20100314,   62,   48,   85
  260,20100315,   63,   48,   92
  260,20100316,   63,   37,  109
  260,20100317,   84,   27,  136
  260,20100318,  108,   13,  173
  260,20100319,  125,  100,  147
  260,20100320,  136,  117,  167
  260,20100321,   86,   20,  123
  260,20100322,   78,    7,  125
  260,20100323,   98,   42,  137
  260,20100324,  124,   82,  179
  260,20100325,  146,  104,  197
  260,20100326,  106,   79,  124
  260,20100327,   98,   78,  127
  260,20100328,   91,   70,  116
  260,20100329,  101,   75,  127
  260,20100330,  102,   56,  138
  260,20100331,   65,   39,  102
  260,20100401,   52,   25,   86
  260,20100402,   78,   21,  136
  260,20100403,   73,   54,  107
  260,20100404,   71,   27,  106
  260,20100405,   78,   28,  109
  260,20100406,  110,   50,  160
  260,20100407,  136,   80,  195
  260,20100408,   92,   33,  133
  260,20100409,  104,   35,  157
  260,20100410,   78,   41,  121
  260,20100411,   63,   23,  103
  260,20100412,   93,   38,  149
  260,20100413,   90,   28,  152
  260,20100414,   96,   27,  154
  260,20100415,   92,   38,  153
  260,20100416,   77,   15,  120
  260,20100417,   80,   -9,  166
  260,20100418,  102,   -1,  180
  260,20100419,   88,   54,  134
  260,20100420,   86,   53,  125
  260,20100421,   67,   24,   98
  260,20100422,   70,    7,  120
  260,20100423,   80,  -20,  148
  260,20100424,  117,    8,  193
  260,20100425,  143,   43,  235
  260,20100426,  126,   93,  168
  260,20100427,  124,   50,  189
  260,20100428,  157,   57,  230
  260,20100429,  177,   93,  252
  260,20100430,  117,   98,  146
  260,20100501,  100,   63,  149
  260,20100502,   75,   55,   87
  260,20100503,   66,   54,   75
  260,20100504,   77,   40,  112
  260,20100505,   79,   11,  132
  260,20100506,   92,   39,  139
  260,20100507,   77,   58,   94
  260,20100508,   90,   73,  109
  260,20100509,   93,   50,  118
  260,20100510,   72,   20,  110
  260,20100511,   68,   44,  115
  260,20100512,   65,   45,   77
  260,20100513,   72,   39,   92
  260,20100514,   76,   18,  128
  260,20100515,   91,    5,  146
  260,20100516,  119,   82,  155
  260,20100517,  116,   58,  159
  260,20100518,  101,   34,  157
  260,20100519,  118,   51,  171
  260,20100520,  138,   34,  207
  260,20100521,  145,   96,  201
  260,20100522,  142,   85,  198
  260,20100523,  169,   82,  237
  260,20100524,  169,  102,  225
  260,20100525,  132,   81,  181
  260,20100526,  102,   66,  130
  260,20100527,  110,   67,  154
  260,20100528,  108,   40,  172
  260,20100529,  141,   44,  210
  260,20100530,  121,   94,  159
  260,20100531,  129,   98,  172
  260,20100601,  126,   58,  185
  260,20100602,  155,  104,  214
  260,20100603,  160,   94,  216
  260,20100604,  169,   93,  233
  260,20100605,  191,   93,  265
  260,20100606,  185,  124,  261
  260,20100607,  152,  115,  188
  260,20100608,  163,  115,  230
  260,20100609,  176,  153,  201
  260,20100610,  186,  159,  217
  260,20100611,  162,   97,  201
  260,20100612,  138,   81,  191
  260,20100613,  133,   90,  166
  260,20100614,  159,   97,  215
  260,20100615,  132,   93,  168
  260,20100616,  154,   83,  220
  260,20100617,  166,  102,  231
  260,20100618,  132,  108,  159
  260,20100619,  118,   95,  157
  260,20100620,  118,   98,  140
  260,20100621,  134,   67,  182
  260,20100622,  141,   43,  209
  260,20100623,  181,   75,  259
  260,20100624,  196,  104,  270
  260,20100625,  189,  122,  246
  260,20100626,  192,  106,  255
  260,20100627,  213,  123,  284
  260,20100628,  215,  127,  298
  260,20100629,  194,  111,  266
  260,20100630,  202,  142,  270
  260,20100701,  224,  142,  284
  260,20100702,  271,  205,  336
  260,20100703,  215,  160,  278
  260,20100704,  201,  145,  258
  260,20100705,  188,  137,  236
  260,20100706,  162,   90,  209
  260,20100707,  187,   80,  257
  260,20100708,  220,  132,  289
  260,20100709,  248,  146,  344
  260,20100710,  248,  165,  327
  260,20100711,  229,  184,  293
  260,20100712,  208,  169,  258
  260,20100713,  207,  144,  265
  260,20100714,  214,  173,  286
  260,20100715,  188,  163,  225
  260,20100716,  191,  150,  241
  260,20100717,  171,  118,  211
  260,20100718,  176,  102,  233
  260,20100719,  207,  118,  275
  260,20100720,  232,  137,  293
  260,20100721,  221,  187,  259
  260,20100722,  184,  125,  235
  260,20100723,  174,  105,  226
  260,20100724,  166,  126,  204
  260,20100725,  168,  121,  198
  260,20100726,  168,  125,  206
  260,20100727,  177,  119,  212
  260,20100728,  187,  144,  223
  260,20100729,  167,  138,  207
  260,20100730,  177,  135,  227
  260,20100731,  185,  141,  215
  260,20100801,  182,  128,  228
  260,20100802,  161,  106,  201
  260,20100803,  172,  107,  221
  260,20100804,  165,  139,  201
  260,20100805,  153,   91,  202
  260,20100806,  164,   76,  233
  260,20100807,  175,  144,  208
  260,20100808,  171,  123,  209
  260,20100809,  179,  123,  223
  260,20100810,  175,  116,  225
  260,20100811,  169,   96,  213
  260,20100812,  141,   82,  203
  260,20100813,  156,   95,  210
  260,20100814,  182,  101,  242
  260,20100815,  175,  153,  202
  260,20100816,  192,  166,  223
  260,20100817,  164,  151,  180
  260,20100818,  169,  144,  199
  260,20100819,  168,  132,  210
  260,20100820,  207,  143,  276
  260,20100821,  214,  175,  259
  260,20100822,  198,  174,  225
  260,20100823,  193,  168,  214
  260,20100824,  168,  135,  199
  260,20100825,  165,  136,  205
  260,20100826,  168,  135,  204
  260,20100827,  148,  101,  172
  260,20100828,  135,   86,  184
  260,20100829,  126,   97,  167
  260,20100830,  141,  101,  179
  260,20100831,  128,   67,  187
  260,20100901,  123,   59,  185
  260,20100902,  129,   62,  177
  260,20100903,  140,   76,  196
  260,20100904,  138,   70,  195
  260,20100905,  135,   72,  197
  260,20100906,  151,   90,  205
  260,20100907,  125,  108,  150
  260,20100908,  155,  123,  210
  260,20100909,  162,  112,  208
  260,20100910,  158,  112,  183
  260,20100911,  184,  149,  233
  260,20100912,  153,   95,  191
  260,20100913,  149,   78,  191
  260,20100914,  156,  135,  167
  260,20100915,  139,  104,  171
  260,20100916,  125,   90,  172
  260,20100917,  114,   86,  150
  260,20100918,  117,   74,  167
  260,20100919,  133,   83,  162
  260,20100920,  153,  126,  181
  260,20100921,  144,   97,  186
  260,20100922,  151,   87,  225
  260,20100923,  160,  117,  208
  260,20100924,  149,  122,  178
  260,20100925,  113,   78,  150
  260,20100926,   86,   44,  144
  260,20100927,  100,   43,  127
  260,20100928,  127,   85,  150
  260,20100929,   97,   58,  142
  260,20100930,  100,   65,  149
  260,20101001,  120,   60,  170
  260,20101002,  153,  122,  182
  260,20101003,  182,  147,  223
  260,20101004,  172,  130,  220
  260,20101005,  167,  136,  195
  260,20101006,  160,  123,  192
  260,20101007,  140,   97,  169
  260,20101008,  142,  111,  163
  260,20101009,  136,   95,  194
  260,20101010,  113,   71,  179
  260,20101011,   96,   46,  162
  260,20101012,   85,   51,  134
  260,20101013,   83,   28,  130
  260,20101014,   94,   23,  125
  260,20101015,  103,   76,  128
  260,20101016,   74,   42,  103
  260,20101017,   47,  -10,  107
  260,20101018,   68,  -18,  126
  260,20101019,   90,   68,  127
  260,20101020,   62,   35,   93
  260,20101021,   78,   29,  115
  260,20101022,   90,   67,  125
  260,20101023,   72,   48,   86
  260,20101024,   75,   29,  117
  260,20101025,   53,    0,  113
  260,20101026,   64,   -1,  101
  260,20101027,   89,   67,  107
  260,20101028,  113,   89,  136
  260,20101029,  100,   59,  131
  260,20101030,  112,   69,  134
  260,20101031,   92,   54,  133
  260,20101101,   82,   50,   92
  260,20101102,  110,   83,  130
  260,20101103,  128,  107,  147
  260,20101104,  152,  145,  159
  260,20101105,  137,   94,  150
  260,20101106,   93,   74,  116
  260,20101107,   55,    8,   82
  260,20101108,   49,    3,   80
  260,20101109,   46,   42,   53
  260,20101110,   54,   24,   85
  260,20101111,   68,   34,  107
  260,20101112,  113,   98,  128
  260,20101113,  104,   88,  115
  260,20101114,  112,   84,  132
  260,20101115,   58,    2,  106
  260,20101116,   20,  -11,   60
  260,20101117,   39,    6,   53
  260,20101118,   53,   40,   69
  260,20101119,   71,   42,   87
  260,20101120,   70,   41,   94
  260,20101121,   52,   27,   83
  260,20101122,   45,   18,   63
  260,20101123,   46,   15,   76
  260,20101124,   35,    4,   63
  260,20101125,   24,    1,   48
  260,20101126,   -1,  -28,   38
  260,20101127,   -5,  -44,   16
  260,20101128,  -30,  -52,    5
  260,20101129,  -22,  -45,   -7
  260,20101130,  -16,  -37,   -5
  260,20101201,  -62,  -78,  -37
  260,20101202,  -69,  -79,  -61
  260,20101203,  -54,  -97,  -25
  260,20101204,  -21,  -63,    8
  260,20101205,   23,  -11,   47
  260,20101206,   -4,  -33,   23
  260,20101207,  -23,  -38,  -13
  260,20101208,  -21,  -47,   -4
  260,20101209,   27,  -24,   54
  260,20101210,   38,  -10,   71
  260,20101211,   71,   60,   80
  260,20101212,   31,  -34,   68
  260,20101213,  -17,  -65,   20
  260,20101214,  -25,  -59,    1
  260,20101215,    4,  -57,   36
  260,20101216,   15,  -27,   45
  260,20101217,  -22,  -56,   -6
  260,20101218,  -41,  -60,  -15
  260,20101219,  -49,  -57,  -39
  260,20101220,  -77, -111,  -47
  260,20101221,  -39,  -85,  -16
  260,20101222,  -21,  -29,  -11
  260,20101223,   -7,  -22,    0
  260,20101224,  -12,  -24,   -3
  260,20101225,  -16,  -33,    6
  260,20101226,    5,  -59,   48
  260,20101227,   -6,  -16,    9
  260,20101228,    4,   -3,   12
  260,20101229,    4,  -16,   18
  260,20101230,  -16,  -55,   19
  260,20101231,   25,    6,   37
