# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20120101,  116,  102,  129
  260,20120102,   75,   46,  103
  260,20120103,   74,   48,  107
  260,20120104,   71,   54,   86
  260,20120105,   74,   49,  102
  260,20120106,   67,   42,   88
  260,20120107,   78,   51,   94
  260,20120108,   74,   55,   84
  260,20120109,   83,   65,   95
  260,20120110,   75,   22,   93
  260,20120111,   84,   75,   90
  260,20120112,   79,   52,  105
  260,20120113,   55,   37,   75
  260,20120114,   40,   -1,   73
  260,20120115,   18,  -21,   66
  260,20120116,  -10,  -44,   48
  260,20120117,   -3,  -53,   61
  260,20120118,   26,  -18,   62
  260,20120119,   67,   50,   81
  260,20120120,   46,   24,   68
  260,20120121,   78,   34,  109
  260,20120122,   68,   50,   99
  260,20120123,   54,   29,   80
  260,20120124,   33,    0,   59
  260,20120125,   41,   29,   52
  260,20120126,   45,   36,   62
  260,20120127,   43,   14,   80
  260,20120128,   28,  -11,   68
  260,20120129,   -7,  -17,    8
  260,20120130,  -20,  -27,  -12
  260,20120131,  -39,  -66,  -11
  260,20120201,  -49,  -79,  -13
  260,20120202,  -65,  -88,  -35
  260,20120203,  -82, -159,  -51
  260,20120204, -121, -189,  -45
  260,20120205,  -71, -102,  -51
  260,20120206,  -84, -146,  -33
  260,20120207,  -85, -153,  -37
  260,20120208,  -33,  -89,   -9
  260,20120209,  -44,  -97,    5
  260,20120210,  -61, -108,  -21
  260,20120211,  -73, -119,  -30
  260,20120212,  -37,  -98,   -5
  260,20120213,   27,   -5,   50
  260,20120214,   46,   31,   59
  260,20120215,   56,   40,   68
  260,20120216,   55,   40,   75
  260,20120217,   68,   45,   95
  260,20120218,   70,   35,   91
  260,20120219,   29,  -12,   60
  260,20120220,   22,  -34,   64
  260,20120221,   57,   28,   93
  260,20120222,   67,   52,   90
  260,20120223,  101,   60,  129
  260,20120224,   81,   20,   99
  260,20120225,   53,    1,  103
  260,20120226,   68,   54,   96
